국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
미국🇺🇸,43668680,9850394,22669,705293,33112993,1.6,75.8,131928,331002651
인도🇮🇳,33624419,301410,8944,446690,32876319,1.3,97.8,24365,1380004385
브라질🇧🇷,21327616,407510,8318,593698,20326408,2.8,95.3,100337,212559417
영국🇬🇧,7601487,1334367,916,135983,6131137,1.8,80.7,111974,67886011
러시아🇷🇺,7398415,604387,2300,203095,6590933,2.7,89.1,50697,145934462
터키🇹🇷,6987494,471548,633,62745,6453201,0.9,92.4,82850,84339067
프랑스🇫🇷,6983601,157559,1609,116420,6709622,1.7,96.1,106990,65273511
이란🇮🇷,5519728,479668,6411,119082,4920978,2.2,89.2,65717,83992949
아르헨티나🇦🇷,5248847,26107,1271,114828,5107912,2.2,97.3,116136,45195774
콜롬비아🇨🇴,4948513,33872,542,126068,4788573,2.5,96.8,97253,50882891
스페인🇪🇸,4946601,152205,837,86229,4708167,1.7,95.2,105799,46754778
이탈리아🇮🇹,4653696,103556,489,130603,4419537,2.8,95.0,76969,60461826
인도네시아🇮🇩,4206253,44071,N/A,141381,4020801,3.4,95.6,15378,273523615
독일🇩🇪,4194549,148616,1504,93933,3952000,2.2,94.2,50064,83783942
멕시코🇲🇽,3619115,373412,4798,274703,2971000,7.6,82.1,28070,128932753
폴란드🇵🇱,2902591,166244,147,75571,2660776,2.6,91.7,76694,37846611
남아프리카 공화국🇿🇦,2894342,50682,546,86967,2756693,3.0,95.2,48801,59308690
필리핀🇵🇭,2470235,165110,3170,37405,2267720,1.5,91.8,22543,109581078
우크라이나🇺🇦,2387750,88984,177,55557,2243209,2.3,93.9,54597,43733762
페루🇵🇪,2171374,N/A,1033,199182,N/A,9.2,N/A,65855,32971854
말레이시아🇲🇾,2171232,195837,1055,24931,1950464,1.1,89.8,67084,32365999
네덜란드🇳🇱,1993309,N/A,184,18147,N/A,0.9,N/A,116331,17134872
이라크🇮🇶,1990316,81174,557,22039,1887103,1.1,94.8,49483,40222493
일본🇯🇵*,1693350,47466,1189,17478,1628406,1.0,96.2,13389,126476461
체코🇨🇿,1688953,6047,27,30452,1652454,1.8,97.8,157714,10708981
칠레🇨🇱,1650238,6867,407,37423,1605948,2.3,97.3,86327,19116201
캐나다🇨🇦,1598800,45024,638,27620,1526156,1.7,95.5,42361,37742154
방글라데시🇧🇩,1549553,12983,1403,27368,1509202,1.8,97.4,9409,164689383
태국🇹🇭,1549285,124540,4387,16143,1408602,1.0,90.9,22196,69799978
이스라엘🇮🇱,1256600,65595,703,7611,1183394,0.6,94.2,145179,8655535
파키스탄🇵🇰,1236888,52042,4267,27524,1157322,2.2,93.6,5600,220892340
벨기에🇧🇪,1233723,63499,216,25554,1144670,2.1,92.8,106451,11589623
루마니아🇷🇴,1187773,55407,1195,36230,1096136,3.1,92.3,61742,19237691
스웨덴🇸🇪,1149407,N/A,42,14781,N/A,1.3,N/A,113811,10099265
포르투갈🇵🇹,1065633,31759,76,17947,1015927,1.7,95.3,104508,10196709
모로코🇲🇦,927127,17591,630,14102,895434,1.5,96.6,25118,36910560
세르비아🇷🇸,899485,119722,201,7966,771797,0.9,85.8,102947,8737371
카자흐스탄🇰🇿,874920,55621,221,10999,808300,1.3,92.4,46596,18776707
쿠바🇨🇺,839981,36852,411,7104,796025,0.8,94.8,74160,11326616
스위스🇨🇭,833383,68139,209,11052,754192,1.3,90.5,96293,8654622
헝가리🇭🇺,820078,8133,54,30151,781794,3.7,95.3,84891,9660351
요르단🇯🇴,818358,12346,493,10653,795359,1.3,97.2,80207,10203134
네팔🇳🇵,790662,19700,N/A,11087,759875,1.4,96.1,27136,29136808
베트남🇻🇳,736972,212893,N/A,18220,505859,2.5,68.6,7571,97338579
아랍에미레이트🇦🇪,734596,5701,N/A,2089,726806,0.3,98.9,74274,9890402
오스트리아🇦🇹,734302,20998,227,10961,702343,1.5,95.6,81531,9006398
튀니지🇹🇳,703732,6740,332,24705,672287,3.5,95.5,59544,11818619
그리스🇬🇷,643055,27865,331,14639,600551,2.3,93.4,61695,10423054
레바논🇱🇧,621155,25633,200,8268,587254,1.3,94.5,91006,6825445
조지아🇬🇪,605360,23031,N/A,8787,573542,1.5,94.7,151751,3989167
사우디아라비아🇸🇦,546843,2313,271,8688,535842,1.6,98.0,15708,34813871
과테말라🇬🇹,545796,33911,5,13283,498602,2.4,91.4,30465,17915568
벨라루스🇧🇾,528229,12482,N/A,4081,511666,0.8,96.9,55901,9449323
코스타리카🇨🇷,521182,94789,459,6189,420204,1.2,80.6,102311,5094118
스리랑카🇱🇰,511372,46150,N/A,12530,452692,2.5,88.5,23881,21413249
에콰도르🇪🇨,507858,31258,759,32720,443880,6.4,87.4,28785,17643054
볼리비아🇧🇴,498595,23663,220,18696,456236,3.7,91.5,42713,11673021
불가리아🇧🇬,491327,41874,405,20423,429030,4.2,87.3,70710,6948445
아제르바이잔🇦🇿,478715,25657,N/A,6415,446643,1.3,93.3,47214,10139177
파나마🇵🇦,465736,3763,108,7197,454776,1.5,97.6,107940,4314767
파라과이🇵🇾,459779,1125,24,16142,442512,3.5,96.2,64462,7132538
미얀마🇲🇲,455074,29369,N/A,17413,408292,3.8,89.7,8364,54409800
쿠웨이트🇰🇼,411406,679,12,2444,408283,0.6,99.2,96335,4270571
슬로바키아🇸🇰,407799,9519,101,12596,385684,3.1,94.6,74693,5459642
크로아티아🇭🇷,399054,8577,94,8580,381897,2.2,95.7,97205,4105267
팔레스타인🇵🇸,394683,29171,72,3997,361515,1.0,91.6,77367,5101414
