국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
미국🇺🇸,44444146,9908666,19904,718986,33816494,1.6,76.1,134413,331002651
인도🇮🇳,33793443,276208,8944,448636,33068599,1.3,97.9,24503,1380004385
브라질🇧🇷,21445651,415716,8318,597292,20432643,2.8,95.3,100956,212559417
영국🇬🇧,7841625,1349077,815,136789,6355759,1.7,81.1,115945,67886011
러시아🇷🇺,7560767,641165,2300,209028,6710574,2.8,88.8,51986,145934462
터키🇹🇷,7182943,476547,633,64264,6642132,0.9,92.5,85499,84339067
프랑스🇫🇷,7018367,113326,1355,116759,6788282,1.7,96.7,107598,65273511
이란🇮🇷,5611700,415338,5802,120880,5075482,2.2,90.4,66812,83992949
아르헨티나🇦🇷,5258466,23288,1085,115225,5119953,2.2,97.4,116368,45195774
스페인🇪🇸,4961128,118927,675,86463,4755738,1.7,95.9,106110,46754778
콜롬비아🇨🇴,4959144,31780,542,126336,4801028,2.5,96.8,97491,50882891
이탈리아🇮🇹,4675758,93652,429,130973,4451133,2.8,95.2,77389,60461826
독일🇩🇪,4250995,138241,1435,94254,4018500,2.2,94.5,50792,83783942
인도네시아🇮🇩,4218142,33812,N/A,142115,4042215,3.4,95.8,15426,273523615
멕시코🇲🇽,3671611,372511,4798,277976,3021124,7.6,82.3,28534,128932753
폴란드🇵🇱,2909776,170380,174,75689,2663707,2.6,91.5,76912,37846611
남아프리카 공화국🇿🇦,2904307,39612,546,87705,2776990,3.0,95.6,48991,59308690
필리핀🇵🇭,2580173,144061,3170,38656,2397456,1.5,92.9,23546,109581078
우크라이나🇺🇦,2447222,128649,177,56649,2261924,2.3,92.4,56139,43733762
말레이시아🇲🇾,2257584,160413,900,26456,2070715,1.2,91.7,70089,32365999
페루🇵🇪,2177283,N/A,999,199423,N/A,9.2,N/A,66035,32971854
이라크🇮🇶,2007227,65777,461,22344,1919106,1.1,95.6,49903,40222493
네덜란드🇳🇱,2006421,N/A,142,18181,N/A,0.9,N/A,117096,17134872
일본🇯🇵*,1704592,26284,723,17732,1660576,1.0,97.4,13485,126476461
체코🇨🇿,1693234,8292,32,30477,1654465,1.8,97.7,158165,10708981
칠레🇨🇱,1655884,7365,364,37484,1611035,2.3,97.3,86622,19116201
캐나다🇨🇦,1629142,44691,776,27921,1556530,1.7,95.5,43220,37742154
태국🇹🇭,1626604,113394,3324,16937,1496273,1.0,92.0,23459,69799978
방글라데시🇧🇩,1557347,12150,1389,27555,1517642,1.8,97.5,9456,164689383
이스라엘🇮🇱,1285570,45412,586,7766,1232392,0.6,95.9,148950,8655535
루마니아🇷🇴,1257145,92187,1412,37394,1127564,3.0,89.7,65799,19237691
파키스탄🇵🇰,1248202,46934,3511,27831,1173437,2.2,94.0,5658,220892340
벨기에🇧🇪,1247197,59681,213,25612,1161904,2.1,93.2,107613,11589623
스웨덴🇸🇪,1153655,N/A,39,14827,N/A,1.3,N/A,114232,10099265
포르투갈🇵🇹,1069975,30501,67,17979,1021495,1.7,95.5,105001,10196709
세르비아🇷🇸,955672,132460,253,8331,814881,0.9,85.3,109378,8737371
모로코🇲🇦,934007,12110,426,14290,907607,1.5,97.2,25327,36910560
카자흐스탄🇰🇿,889040,51697,221,11253,826090,1.3,92.9,47452,18776707
쿠바🇨🇺,887350,25845,352,7534,853971,0.8,96.2,78342,11326616
스위스🇨🇭,841571,58656,168,11105,771810,1.3,91.7,97239,8654622
요르단🇯🇴,824697,12444,451,10727,801526,1.3,97.2,80882,10203134
헝가리🇭🇺,823384,7539,84,30199,785646,3.7,95.4,85233,9660351
베트남🇻🇳,803202,118663,N/A,19601,664938,2.4,82.8,8252,97338579
네팔🇳🇵,796618,17642,N/A,11157,767819,1.4,96.4,27360,29136808
오스트리아🇦🇹,746380,20394,219,11021,714965,1.5,95.8,83144,9006398
아랍에미레이트🇦🇪,736524,5182,N/A,2100,729242,0.3,99.0,74487,9890402
튀니지🇹🇳,707548,5916,295,24901,676731,3.5,95.6,59904,11818619
그리스🇬🇷,658368,27552,329,14860,615956,2.3,93.6,63337,10423054
레바논🇱🇧,624743,21455,200,8333,594955,1.3,95.2,91634,6825445
조지아🇬🇪,616589,20085,N/A,9005,587499,1.5,95.3,154858,3989167
과테말라🇬🇹,563257,27181,5,13625,522451,2.4,92.8,31568,17915568
사우디아라비아🇸🇦,547221,2218,193,8722,536281,1.6,98.0,15718,34813871
벨라루스🇧🇾,542077,16541,N/A,4174,521362,0.8,96.2,57568,9449323
코스타리카🇨🇷,533873,88643,458,6413,438817,1.2,82.2,104802,5094118
스리랑카🇱🇰,518775,47726,N/A,12964,458085,2.5,88.3,24267,21413249
에콰도르🇪🇨,509238,32596,759,32762,443880,6.4,87.2,28863,17643054
불가리아🇧🇬,504253,45056,463,20969,438228,4.2,86.9,72747,6948445
볼리비아🇧🇴,500823,21529,220,18750,460544,3.7,92.0,42904,11673021
아제르바이잔🇦🇿,485275,15918,N/A,6559,462798,1.4,95.4,47861,10139177
파나마🇵🇦,467338,3214,61,7230,456894,1.5,97.8,108364,4314767
미얀마🇲🇲,465922,28291,N/A,17789,419842,3.8,90.1,8588,54409800
파라과이🇵🇾,459997,579,13,16200,443218,3.5,96.4,64496,7132538
슬로바키아🇸🇰,415016,12950,129,12660,389406,3.1,93.8,76194,5459642
쿠웨이트🇰🇼,411690,639,11,2450,408601,0.6,99.2,96411,4270571
크로아티아🇭🇷,407755,9221,99,8664,389870,2.1,95.6,99555,4105267
팔레스타인🇵🇸,405780,23855,72,4132,377793,1.0,93.1,79714,5101414
아일랜드🇮🇪,390989,40207,59,5249,345533,1.3,88.4,79504,4937786
우루과이🇺🇾,389025,1300,14,6056,381669,1.6,98.1,112019,3473730
베네수엘라🇻🇪,370368,13577,681,4483,352308,1.2,95.1,13082,28435940
온두라스🇭🇳,367275,246378,418,9855,111042,2.7,30.2,37081,9904607
덴마크🇩🇰,359663,5284,12,2663,351716,0.7,97.8,62094,5792202
도미니카 공화국🇩🇴,359597,5780,176,4049,349768,1.1,97.3,33210,10847910
에티오피아🇪🇹,347084,27439,802,5630,314015,1.6,90.5,3027,114963588
리비아🇱🇾,341091,75542,N/A,4664,260885,1.4,76.5,49749,6871292
리투아니아🇱🇹,335801,24090,232,5041,306670,1.5,91.3,123946,2722289
